,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
12,2022-01-14T00:00:00.0000000Z,2022-01-15T00:00:00.0000000Z,2022-01-14T00:00:00.3060000Z,2022-01-14T23:59:53.9440000Z,0.07615,0.077115,0.075948,0.076806,43701.891500000005,107933
13,2022-01-15T00:00:00.0000000Z,2022-01-16T00:00:00.0000000Z,2022-01-15T00:00:01.6930000Z,2022-01-15T23:59:55.8020000Z,0.076809,0.077774,0.076608,0.077209,33499.8341,83639
14,2022-01-16T00:00:00.0000000Z,2022-01-17T00:00:00.0000000Z,2022-01-16T00:00:00.1060000Z,2022-01-16T23:59:59.5990000Z,0.077204,0.078095,0.076785,0.077701,37033.39570000001,97591
15,2022-01-17T00:00:00.0000000Z,2022-01-18T00:00:00.0000000Z,2022-01-17T00:00:02.0530000Z,2022-01-17T23:59:59.8570000Z,0.077702,0.077804,0.075502,0.076055,52291.278,131120
16,2022-01-18T00:00:00.0000000Z,2022-01-19T00:00:00.0000000Z,2022-01-18T00:00:01.8330000Z,2022-01-18T23:59:48.9310000Z,0.076053,0.076477,0.074436,0.074599,55318.6541,122602
17,2022-01-19T00:00:00.0000000Z,2022-01-20T00:00:00.0000000Z,2022-01-19T00:00:01.3120000Z,2022-01-19T23:59:59.6980000Z,0.074606,0.074895,0.0738,0.074034,52915.9271,119016
18,2022-01-20T00:00:00.0000000Z,2022-01-21T00:00:00.0000000Z,2022-01-20T00:00:00.9870000Z,2022-01-20T23:59:59.9340000Z,0.074034,0.075437,0.073662,0.073777,54209.24410000001,123211
19,2022-01-21T00:00:00.0000000Z,2022-01-22T00:00:00.0000000Z,2022-01-21T00:00:00.4710000Z,2022-01-21T23:59:59.6080000Z,0.073789,0.074068,0.068803,0.070444,140558.0361,292371
20,2022-01-22T00:00:00.0000000Z,2022-01-23T00:00:00.0000000Z,2022-01-22T00:00:00.4240000Z,2022-01-22T23:59:47.2740000Z,0.070449,0.07168,0.067343,0.068779,141958.7402,313884
21,2022-01-23T00:00:00.0000000Z,2022-01-24T00:00:00.0000000Z,2022-01-23T00:00:02.6850000Z,2022-01-23T23:59:58.4890000Z,0.068779,0.070826,0.068286,0.070057,89935.6563,173479
22,2022-01-24T00:00:00.0000000Z,2022-01-25T00:00:00.0000000Z,2022-01-24T00:00:40.3840000Z,2022-01-24T23:59:59.7550000Z,0.070034,0.070112,0.064675,0.066549,154511.62139999995,285324
23,2022-01-25T00:00:00.0000000Z,2022-01-26T00:00:00.0000000Z,2022-01-25T00:00:00.6430000Z,2022-01-25T23:59:58.6110000Z,0.066544,0.067089,0.065609,0.066518,77589.465,155327
24,2022-01-26T00:00:00.0000000Z,2022-01-27T00:00:00.0000000Z,2022-01-26T00:00:01.6910000Z,2022-01-26T23:59:59.5070000Z,0.066535,0.069943,0.06558,0.066919,115408.26769999998,236176
25,2022-01-27T00:00:00.0000000Z,2022-01-28T00:00:00.0000000Z,2022-01-27T00:00:00.2870000Z,2022-01-27T23:59:58.9790000Z,0.066918,0.068003,0.064715,0.065228,84365.66239999999,180105
26,2022-01-28T00:00:00.0000000Z,2022-01-29T00:00:00.0000000Z,2022-01-28T00:00:00.9530000Z,2022-01-28T23:59:59.5330000Z,0.065245,0.06768,0.064465,0.067484,80929.30189999998,174451
27,2022-01-29T00:00:00.0000000Z,2022-01-30T00:00:00.0000000Z,2022-01-29T00:00:00.7740000Z,2022-01-29T23:59:59.1830000Z,0.067484,0.0687,0.067034,0.068165,54346.3389,126486
28,2022-01-30T00:00:00.0000000Z,2022-01-31T00:00:00.0000000Z,2022-01-30T00:00:00.5090000Z,2022-01-30T23:59:59.4110000Z,0.068163,0.06922,0.06762,0.068679,44864.5387,113649
29,2022-01-31T00:00:00.0000000Z,2022-02-01T00:00:00.0000000Z,2022-01-31T00:00:00.0050000Z,2022-01-31T23:59:59.1540000Z,0.068674,0.070205,0.06722,0.069845,67949.17869999999,154227
30,2022-02-01T00:00:00.0000000Z,2022-02-02T00:00:00.0000000Z,2022-02-01T00:00:03.5360000Z,2022-02-01T23:59:59.7020000Z,0.069852,0.072193,0.069721,0.07203,73812.1678,153610
31,2022-02-02T00:00:00.0000000Z,2022-02-03T00:00:00.0000000Z,2022-02-02T00:00:01.5440000Z,2022-02-02T23:59:58.8190000Z,0.072031,0.073281,0.07086,0.072611,71100.4806,170979
32,2022-02-03T00:00:00.0000000Z,2022-02-04T00:00:00.0000000Z,2022-02-03T00:00:02.5440000Z,2022-02-03T23:59:59.5580000Z,0.072626,0.0736,0.070839,0.07225,58868.734599999996,145767
33,2022-02-04T00:00:00.0000000Z,2022-02-05T00:00:00.0000000Z,2022-02-04T00:00:00.1110000Z,2022-02-04T23:59:59.8390000Z,0.072245,0.075083,0.071599,0.072049,95363.05409999998,224702
34,2022-02-05T00:00:00.0000000Z,2022-02-06T00:00:00.0000000Z,2022-02-05T00:00:01.4450000Z,2022-02-05T23:59:52.1390000Z,0.07203,0.073172,0.071417,0.072806,53047.7898,130431
35,2022-02-06T00:00:00.0000000Z,2022-02-07T00:00:00.0000000Z,2022-02-06T00:00:03.0920000Z,2022-02-06T23:59:53.0500000Z,0.072797,0.073041,0.07155,0.072097,32192.809,88628
36,2022-02-07T00:00:00.0000000Z,2022-02-08T00:00:00.0000000Z,2022-02-07T00:00:00.8850000Z,2022-02-07T23:59:56.2280000Z,0.072092,0.072567,0.071066,0.071621,114298.59720000002,291322
37,2022-02-08T00:00:00.0000000Z,2022-02-09T00:00:00.0000000Z,2022-02-08T00:00:00.0410000Z,2022-02-08T23:59:59.4990000Z,0.071619,0.071781,0.070328,0.070769,62473.73049999999,175591
38,2022-02-09T00:00:00.0000000Z,2022-02-10T00:00:00.0000000Z,2022-02-09T00:00:00.3280000Z,2022-02-09T23:59:58.5930000Z,0.07077,0.073271,0.07054,0.073097,61966.3974,141779
39,2022-02-10T00:00:00.0000000Z,2022-02-11T00:00:00.0000000Z,2022-02-10T00:00:03.2400000Z,2022-02-10T23:59:59.3660000Z,0.073096,0.073406,0.070159,0.070642,73001.58189999999,179510
40,2022-02-11T00:00:00.0000000Z,2022-02-12T00:00:00.0000000Z,2022-02-11T00:00:02.0850000Z,2022-02-11T23:59:57.5250000Z,0.070638,0.071657,0.068359,0.069088,50764.503399999994,143788
41,2022-02-12T00:00:00.0000000Z,2022-02-13T00:00:00.0000000Z,2022-02-12T00:00:00.6840000Z,2022-02-12T23:59:57.7430000Z,0.069093,0.069888,0.06818,0.069138,47198.1956,126870
42,2022-02-13T00:00:00.0000000Z,2022-02-14T00:00:00.0000000Z,2022-02-13T00:00:00.9160000Z,2022-02-13T23:59:59.1230000Z,0.069134,0.06934,0.067732,0.068262,30706.7516,89081
43,2022-02-14T00:00:00.0000000Z,2022-02-15T00:00:00.0000000Z,2022-02-14T00:00:02.1400000Z,2022-02-14T23:59:57.5820000Z,0.068269,0.069425,0.067852,0.068873,40430.1619,109111
44,2022-02-15T00:00:00.0000000Z,2022-02-16T00:00:00.0000000Z,2022-02-15T00:00:01.3430000Z,2022-02-15T23:59:58.4530000Z,0.068876,0.0717,0.068501,0.071472,51568.12019999999,125707
45,2022-02-16T00:00:00.0000000Z,2022-02-17T00:00:00.0000000Z,2022-02-16T00:00:00.4590000Z,2022-02-16T23:59:56.7330000Z,0.071473,0.071921,0.070121,0.071157,43362.4832,118757
46,2022-02-17T00:00:00.0000000Z,2022-02-18T00:00:00.0000000Z,2022-02-17T00:00:00.0560000Z,2022-02-17T23:59:59.8760000Z,0.071161,0.071594,0.069904,0.071373,52729.08199999999,161220
47,2022-02-18T00:00:00.0000000Z,2022-02-19T00:00:00.0000000Z,2022-02-18T00:00:01.6590000Z,2022-02-18T23:59:55.2650000Z,0.071371,0.072,0.0691,0.069521,55273.29570000001,144561
48,2022-02-19T00:00:00.0000000Z,2022-02-20T00:00:00.0000000Z,2022-02-19T00:00:01.4840000Z,2022-02-19T23:59:57.4880000Z,0.069527,0.070385,0.068016,0.068956,42237.78330000001,109914
49,2022-02-20T00:00:00.0000000Z,2022-02-21T00:00:00.0000000Z,2022-02-20T00:00:00.3460000Z,2022-02-20T23:59:57.0920000Z,0.068956,0.069549,0.067382,0.068301,51213.69279999999,144194
50,2022-02-21T00:00:00.0000000Z,2022-02-22T00:00:00.0000000Z,2022-02-21T00:00:02.0250000Z,2022-02-21T23:59:59.9910000Z,0.068294,0.070448,0.068175,0.069395,70361.06890000001,204039
51,2022-02-22T00:00:00.0000000Z,2022-02-23T00:00:00.0000000Z,2022-02-22T00:00:00.1820000Z,2022-02-22T23:59:59.8150000Z,0.069394,0.069968,0.068051,0.068962,56003.19519999999,176294
52,2022-02-23T00:00:00.0000000Z,2022-02-24T00:00:00.0000000Z,2022-02-23T00:00:02.5290000Z,2022-02-23T23:59:56.9220000Z,0.068965,0.070777,0.068685,0.069248,51210.795800000014,193638
53,2022-02-24T00:00:00.0000000Z,2022-02-25T00:00:00.0000000Z,2022-02-24T00:00:00.0970000Z,2022-02-24T23:59:59.3910000Z,0.069249,0.0703,0.066663,0.067748,115117.23240000001,374978
54,2022-02-25T00:00:00.0000000Z,2022-02-26T00:00:00.0000000Z,2022-02-25T00:00:01.0400000Z,2022-02-25T23:59:58.0300000Z,0.067756,0.07168,0.067386,0.070586,75415.1824,268473
55,2022-02-26T00:00:00.0000000Z,2022-02-27T00:00:00.0000000Z,2022-02-26T00:00:01.7010000Z,2022-02-26T23:59:59.5520000Z,0.070587,0.072128,0.070524,0.071054,57587.5224,231465
56,2022-02-27T00:00:00.0000000Z,2022-02-28T00:00:00.0000000Z,2022-02-27T00:00:02.9020000Z,2022-02-27T23:59:58.2590000Z,0.071055,0.071705,0.068899,0.069422,72293.2781,269391
57,2022-02-28T00:00:00.0000000Z,2022-03-01T00:00:00.0000000Z,2022-02-28T00:00:01.9760000Z,2022-02-28T23:59:58.7700000Z,0.06942,0.070024,0.066564,0.067673,87557.3557,272161
58,2022-03-01T00:00:00.0000000Z,2022-03-02T00:00:00.0000000Z,2022-03-01T00:00:00.0240000Z,2022-03-01T23:59:59.6210000Z,0.067672,0.068239,0.065817,0.066997,81716.69009999999,262035
59,2022-03-02T00:00:00.0000000Z,2022-03-03T00:00:00.0000000Z,2022-03-02T00:00:00.0450000Z,2022-03-02T23:59:57.6280000Z,0.066998,0.068413,0.066356,0.067142,74963.35929999998,230242
60,2022-03-03T00:00:00.0000000Z,2022-03-04T00:00:00.0000000Z,2022-03-03T00:00:01.0340000Z,2022-03-03T23:59:55.3840000Z,0.067144,0.067437,0.065939,0.066756,69846.1931,158171
61,2022-03-04T00:00:00.0000000Z,2022-03-05T00:00:00.0000000Z,2022-03-04T00:00:00.9450000Z,2022-03-04T23:59:58.2130000Z,0.066755,0.067128,0.06513,0.066982,86923.95700000001,190999
62,2022-03-05T00:00:00.0000000Z,2022-03-06T00:00:00.0000000Z,2022-03-05T00:00:00.1950000Z,2022-03-05T23:59:58.0820000Z,0.066983,0.068027,0.066902,0.067656,57473.560000000005,118154
63,2022-03-06T00:00:00.0000000Z,2022-03-07T00:00:00.0000000Z,2022-03-06T00:00:02.4490000Z,2022-03-06T23:59:59.7480000Z,0.067655,0.068127,0.066382,0.066396,58409.60110000001,130859
64,2022-03-07T00:00:00.0000000Z,2022-03-08T00:00:00.0000000Z,2022-03-07T00:00:01.2420000Z,2022-03-07T23:59:59.9800000Z,0.066396,0.06752,0.065283,0.065575,85941.67909999998,183000
65,2022-03-08T00:00:00.0000000Z,2022-03-09T00:00:00.0000000Z,2022-03-08T00:00:00.1660000Z,2022-03-08T23:59:59.1560000Z,0.065575,0.066763,0.065472,0.06651,75257.48409999999,172085
66,2022-03-09T00:00:00.0000000Z,2022-03-10T00:00:00.0000000Z,2022-03-09T00:00:00.0550000Z,2022-03-09T23:59:58.8810000Z,0.06651,0.066944,0.064101,0.065017,92243.817,192468
67,2022-03-10T00:00:00.0000000Z,2022-03-11T00:00:00.0000000Z,2022-03-10T00:00:00.4130000Z,2022-03-10T23:59:56.2610000Z,0.065016,0.066579,0.064676,0.066123,74734.86499999999,171213
68,2022-03-11T00:00:00.0000000Z,2022-03-12T00:00:00.0000000Z,2022-03-11T00:00:00.8520000Z,2022-03-11T23:59:52.5780000Z,0.066123,0.0669,0.06575,0.066016,74581.63399999999,170725
69,2022-03-12T00:00:00.0000000Z,2022-03-13T00:00:00.0000000Z,2022-03-12T00:00:00.1970000Z,2022-03-12T23:59:56.4200000Z,0.066016,0.066576,0.065844,0.066197,36026.164500000006,84531
70,2022-03-13T00:00:00.0000000Z,2022-03-14T00:00:00.0000000Z,2022-03-13T00:00:00.7560000Z,2022-03-13T23:59:58.9310000Z,0.066197,0.066751,0.065721,0.066587,46674.52,106077
71,2022-03-14T00:00:00.0000000Z,2022-03-15T00:00:00.0000000Z,2022-03-14T00:00:00.8520000Z,2022-03-14T23:59:55.7930000Z,0.066588,0.067216,0.064842,0.065276,77540.2807,165592
72,2022-03-15T00:00:00.0000000Z,2022-03-16T00:00:00.0000000Z,2022-03-15T00:00:01.3290000Z,2022-03-15T23:59:57.5500000Z,0.065276,0.067036,0.06521,0.06664,73886.55810000001,164876
73,2022-03-16T00:00:00.0000000Z,2022-03-17T00:00:00.0000000Z,2022-03-16T00:00:00.3320000Z,2022-03-16T23:59:58.0610000Z,0.06664,0.067565,0.065472,0.067468,99591.97989999999,243990
74,2022-03-17T00:00:00.0000000Z,2022-03-18T00:00:00.0000000Z,2022-03-17T00:00:00.0520000Z,2022-03-17T23:59:57.8480000Z,0.067468,0.069338,0.066934,0.068726,74980.00709999999,161385
75,2022-03-18T00:00:00.0000000Z,2022-03-19T00:00:00.0000000Z,2022-03-18T00:00:00.3010000Z,2022-03-18T23:59:55.4910000Z,0.068726,0.070961,0.068156,0.070377,95916.6493,200264
76,2022-03-19T00:00:00.0000000Z,2022-03-20T00:00:00.0000000Z,2022-03-19T00:00:08.6120000Z,2022-03-19T23:59:59.8510000Z,0.070377,0.071042,0.069374,0.069916,54860.0438,137098
77,2022-03-20T00:00:00.0000000Z,2022-03-21T00:00:00.0000000Z,2022-03-20T00:00:02.4700000Z,2022-03-20T23:59:56.1710000Z,0.069915,0.070106,0.068821,0.069355,47162.7172,129832
