time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
1/16/2022 0:01,1/17/2022 0:01,1/16/2022 0:01,1/16/2022 23:59,0.077204,0.078,0.077,0.078,37033.396,97591,1/16/2022,26,44,36,0,0
1/17/2022 0:01,1/18/2022 0:01,1/17/2022 0:01,1/17/2022 23:59,0.077702,0.078,0.076,0.076,52291.278,131120,1/17/2022,24,39,34,0,0
1/18/2022 0:01,1/19/2022 0:01,1/18/2022 0:01,1/18/2022 23:59,0.076053,0.076,0.074,0.075,55318.654,122602,1/18/2022,29,40,40,0,0
1/19/2022 0:01,1/20/2022 0:01,1/19/2022 0:01,1/19/2022 23:59,0.074606,0.075,0.074,0.074,52915.927,119016,1/19/2022,31,45,38,6,52
1/20/2022 0:01,1/21/2022 0:01,1/20/2022 0:01,1/20/2022 23:59,0.074034,0.075,0.074,0.074,54209.244,123211,1/20/2022,28,44,39,0,68
1/21/2022 0:01,1/22/2022 0:01,1/21/2022 0:01,1/21/2022 23:59,0.073789,0.074,0.069,0.07,140558.036,292371,1/21/2022,28,44,55,0,0
1/22/2022 0:01,1/23/2022 0:01,1/22/2022 0:01,1/22/2022 23:59,0.070449,0.072,0.067,0.069,141958.74,313884,1/22/2022,68,79,60,54,88
1/23/2022 0:01,1/24/2022 0:01,1/23/2022 0:01,1/23/2022 23:59,0.068779,0.071,0.068,0.07,89935.656,173479,1/23/2022,81,91,45,85,57
1/24/2022 0:01,1/25/2022 0:01,1/24/2022 0:01,1/24/2022 23:59,0.070034,0.07,0.065,0.067,154511.621,285324,1/24/2022,54,66,65,41,57
1/25/2022 0:01,1/26/2022 0:01,1/25/2022 0:01,1/25/2022 23:59,0.066544,0.067,0.066,0.067,77589.465,155327,1/25/2022,93,100,43,51,90
1/26/2022 0:01,1/27/2022 0:01,1/26/2022 0:01,1/26/2022 23:59,0.066535,0.07,0.066,0.067,115408.268,236176,1/26/2022,54,58,47,18,59
1/27/2022 0:01,1/28/2022 0:01,1/27/2022 0:01,1/27/2022 23:59,0.066918,0.068,0.065,0.065,84365.662,180105,1/27/2022,49,53,48,22,69
1/28/2022 0:01,1/29/2022 0:01,1/28/2022 0:01,1/28/2022 23:59,0.065245,0.068,0.064,0.067,80929.302,174451,1/28/2022,46,51,44,19,85
1/29/2022 0:01,1/30/2022 0:01,1/29/2022 0:01,1/29/2022 23:59,0.067484,0.069,0.067,0.068,54346.339,126486,1/29/2022,45,49,41,18,0
1/30/2022 0:01,1/31/2022 0:01,1/30/2022 0:01,1/30/2022 23:59,0.068163,0.069,0.068,0.069,44864.539,113649,1/30/2022,38,44,37,8,0
1/31/2022 0:01,2/1/2022 0:01,1/31/2022 0:01,1/31/2022 23:59,0.068674,0.07,0.067,0.07,67949.179,154227,1/31/2022,34,40,42,11,0
2/1/2022 0:01,2/2/2022 0:01,2/1/2022 0:01,2/1/2022 23:59,0.069852,0.072,0.07,0.072,73812.168,153610,2/1/2022,36,46,40,17,60
2/2/2022 0:01,2/3/2022 0:01,2/2/2022 0:01,2/2/2022 23:59,0.072031,0.073,0.071,0.073,71100.481,170979,2/2/2022,36,50,41,7,71
2/3/2022 0:01,2/4/2022 0:01,2/3/2022 0:01,2/3/2022 23:59,0.072626,0.074,0.071,0.072,58868.735,145767,2/3/2022,35,45,42,8,59
2/4/2022 0:01,2/5/2022 0:01,2/4/2022 0:01,2/4/2022 23:59,0.072245,0.075,0.072,0.072,95363.054,224702,2/4/2022,34,40,40,8,65
2/5/2022 0:01,2/6/2022 0:01,2/5/2022 0:01,2/5/2022 23:59,0.07203,0.073,0.071,0.073,53047.79,130431,2/5/2022,38,46,47,7,0
2/6/2022 0:01,2/7/2022 0:01,2/6/2022 0:01,2/6/2022 23:59,0.072797,0.073,0.072,0.072,32192.809,88628,2/6/2022,40,49,38,0,0
2/7/2022 0:01,2/8/2022 0:01,2/7/2022 0:01,2/7/2022 23:59,0.072092,0.073,0.071,0.072,114298.597,291322,2/7/2022,30,40,83,0,51
