time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,fng_classification,fng,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
2/2/2022 0:01,2/3/2022 0:01,2/2/2022 0:01,2/2/2022 23:59,0.072031,0.073,0.071,0.073,28,Fear,2/2/2022,36,50,41,7,71
2/3/2022 0:01,2/4/2022 0:01,2/3/2022 0:01,2/3/2022 23:59,0.072626,0.074,0.071,0.072,20,Extreme Fear,2/3/2022,35,45,42,8,59
2/4/2022 0:01,2/5/2022 0:01,2/4/2022 0:01,2/4/2022 23:59,0.072245,0.075,0.072,0.072,20,Extreme Fear,2/4/2022,34,40,40,8,65
2/5/2022 0:01,2/6/2022 0:01,2/5/2022 0:01,2/5/2022 23:59,0.07203,0.073,0.071,0.073,33,Fear,2/5/2022,38,46,47,7,0
2/6/2022 0:01,2/7/2022 0:01,2/6/2022 0:01,2/6/2022 23:59,0.072797,0.073,0.072,0.072,37,Fear,2/6/2022,40,49,38,0,0
2/7/2022 0:01,2/8/2022 0:01,2/7/2022 0:01,2/7/2022 23:59,0.072092,0.073,0.071,0.072,45,Fear,2/7/2022,30,40,83,0,51
2/8/2022 0:01,2/9/2022 0:01,2/8/2022 0:01,2/8/2022 23:59,0.071619,0.072,0.07,0.071,48,Neutral,2/8/2022,41,49,100,0,100
2/9/2022 0:01,2/10/2022 0:01,2/9/2022 0:01,2/9/2022 23:59,0.07077,0.073,0.071,0.073,54,Neutral,2/9/2022,40,46,76,7,62
2/10/2022 0:01,2/11/2022 0:01,2/10/2022 0:01,2/10/2022 23:59,0.073096,0.073,0.07,0.071,50,Neutral,2/10/2022,41,42,50,0,51
2/11/2022 0:01,2/12/2022 0:01,2/11/2022 0:01,2/11/2022 23:59,0.070638,0.072,0.068,0.069,50,Neutral,2/11/2022,33,34,50,0,0
2/12/2022 0:01,2/13/2022 0:01,2/12/2022 0:01,2/12/2022 23:59,0.069093,0.07,0.068,0.069,44,Fear,2/12/2022,34,37,46,0,56
2/13/2022 0:01,2/14/2022 0:01,2/13/2022 0:01,2/13/2022 23:59,0.069134,0.069,0.068,0.068,44,Fear,2/13/2022,30,41,39,0,0
2/14/2022 0:01,2/15/2022 0:01,2/14/2022 0:01,2/14/2022 23:59,0.068269,0.069,0.068,0.069,46,Fear,2/14/2022,28,33,41,6,54
2/15/2022 0:01,2/16/2022 0:01,2/15/2022 0:01,2/15/2022 23:59,0.068876,0.072,0.069,0.071,46,Fear,2/15/2022,35,34,48,0,46
2/16/2022 0:01,2/17/2022 0:01,2/16/2022 0:01,2/16/2022 23:59,0.071473,0.072,0.07,0.071,51,Neutral,2/16/2022,35,40,51,0,62
2/17/2022 0:01,2/18/2022 0:01,2/17/2022 0:01,2/17/2022 23:59,0.071161,0.072,0.07,0.071,52,Neutral,2/17/2022,31,39,63,5,51
2/18/2022 0:01,2/19/2022 0:01,2/18/2022 0:01,2/18/2022 23:59,0.071371,0.072,0.069,0.07,30,Fear,2/18/2022,35,37,58,6,39
2/19/2022 0:01,2/20/2022 0:01,2/19/2022 0:01,2/19/2022 23:59,0.069527,0.07,0.068,0.069,25,Extreme Fear,2/19/2022,34,37,59,7,67
2/20/2022 0:01,2/21/2022 0:01,2/20/2022 0:01,2/20/2022 23:59,0.068956,0.07,0.067,0.068,27,Fear,2/20/2022,30,34,47,7,0
2/21/2022 0:01,2/22/2022 0:01,2/21/2022 0:01,2/21/2022 23:59,0.068294,0.07,0.068,0.069,25,Extreme Fear,2/21/2022,32,36,50,10,0
2/22/2022 0:01,2/23/2022 0:01,2/22/2022 0:01,2/22/2022 23:59,0.069394,0.07,0.068,0.069,20,Extreme Fear,2/22/2022,33,36,50,7,0
2/23/2022 0:01,2/24/2022 0:01,2/23/2022 0:01,2/23/2022 23:59,0.068965,0.071,0.069,0.069,25,Extreme Fear,2/23/2022,41,39,47,7,54
2/24/2022 0:01,2/25/2022 0:01,2/24/2022 0:01,2/24/2022 23:59,0.069249,0.07,0.067,0.068,23,Extreme Fear,2/24/2022,33,37,49,5,56
2/25/2022 0:01,2/26/2022 0:01,2/25/2022 0:01,2/25/2022 23:59,0.067756,0.072,0.067,0.071,27,Fear,2/25/2022,61,52,48,28,0
2/26/2022 0:01,2/27/2022 0:01,2/26/2022 0:01,2/26/2022 23:59,0.070587,0.072,0.071,0.071,26,Fear,2/26/2022,42,35,44,14,57
2/27/2022 0:01,2/28/2022 0:01,2/27/2022 0:01,2/27/2022 23:59,0.071055,0.072,0.069,0.069,26,Fear,2/27/2022,31,33,48,6,48
2/28/2022 0:01,3/1/2022 0:01,2/28/2022 0:01,2/28/2022 23:59,0.06942,0.07,0.067,0.068,20,Extreme Fear,2/28/2022,31,30,50,6,47
